Date,Price,Open,High,Low,Vol.,Change %
23-Sep-16,45.89,47.42,48.26,45.65,306.86K,-3.69
22-Sep-16,47.65,46.99,47.83,46.99,290.33K,1.75
21-Sep-16,46.83,46.45,47.14,46.38,249.08K,2.07
20-Sep-16,45.88,45.91,46.3,45.09,298.80K,-0.15
19-Sep-16,45.95,46.01,46.93,45.85,209.91K,0.39
16-Sep-16,45.77,46.31,46.41,45.48,226.32K,-1.76
15-Sep-16,46.59,46.06,47,45.67,320.72K,1.61
14-Sep-16,45.85,47.33,47.48,45.7,332.96K,-2.65
13-Sep-16,47.1,48.17,48.22,46.96,280.02K,-2.52
12-Sep-16,48.32,47.81,48.63,46.9,258.76K,0.65
9-Sep-16,48.01,49.63,49.7,47.76,262.15K,-3.96
8-Sep-16,49.99,48.55,50.14,48.21,327.24K,4.19
7-Sep-16,47.98,47.2,48.56,46.97,224.23K,1.52
6-Sep-16,47.26,47.43,47.99,46.29,215.06K,-0.78
5-Sep-16,47.63,46.7,49.4,46.4,287.95K,1.71
2-Sep-16,46.83,45.79,47.02,45.41,279.34K,3.04
1-Sep-16,45.45,46.98,47.24,45.32,290.04K,-3.38
31-Aug-16,47.04,48.29,48.42,46.96,20.61K,-2.75
30-Aug-16,48.37,49.25,49.76,48.23,124.52K,-1.81
29-Aug-16,49.26,49.54,49.6,48.97,65.67K,-1.32
26-Aug-16,49.92,49.66,50.76,49.12,209.62K,0.5
25-Aug-16,49.67,49.03,49.78,48.7,217.13K,1.26
24-Aug-16,49.05,49.57,49.87,48.68,280.92K,-1.82
23-Aug-16,49.96,49.04,50.21,48.48,314.18K,1.63
22-Aug-16,49.16,50.7,50.7,49.07,270.37K,-3.38
19-Aug-16,50.88,50.96,51.22,50.32,252.34K,-0.02
18-Aug-16,50.89,49.76,51.05,49.52,268.83K,2.09
17-Aug-16,49.85,48.88,49.93,48.55,377.40K,1.26
16-Aug-16,49.23,48.22,49.36,47.9,331.86K,1.82
15-Aug-16,48.35,47.14,48.54,46.84,234.40K,2.94
12-Aug-16,46.97,46.18,47.25,45.74,258.00K,2.02
11-Aug-16,46.04,43.78,46.3,43.46,335.53K,4.52
10-Aug-16,44.05,44.92,45.68,43.81,284.86K,-2.07
9-Aug-16,44.98,45.25,45.77,44.76,216.22K,-0.9
8-Aug-16,45.39,44.34,45.71,44.24,221.51K,2.53
5-Aug-16,44.27,44.18,44.49,43.51,236.87K,-0.05
4-Aug-16,44.29,43.36,44.34,42.51,276.42K,2.76
3-Aug-16,43.1,41.94,43.47,41.56,320.44K,3.11
2-Aug-16,41.8,42.23,43.18,41.51,262.56K,-0.81
1-Aug-16,42.14,43.11,43.85,41.87,234.77K,-0.75
29-Jul-16,42.46,42.61,42.83,41.8,21.54K,-0.56
28-Jul-16,42.7,43.53,43.72,42.56,110.09K,-1.77
27-Jul-16,43.47,44.55,44.91,43.27,194.57K,-3.12
26-Jul-16,44.87,44.82,44.96,44.14,240.33K,0.34
25-Jul-16,44.72,45.7,45.87,44.55,188.81K,-2.12
22-Jul-16,45.69,46.21,46.5,45.17,243.49K,-1.1
21-Jul-16,46.2,47.17,47.56,46.05,237.48K,-2.06
20-Jul-16,47.17,46.76,47.49,45.9,296.30K,1.09
19-Jul-16,46.66,46.93,47.49,46.53,214.36K,-0.64
